"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
"1","laporta","NO","Amianti C and Bandeira LM and Cesar GA and Weis-Torres S and Tanaka TSO and Machado IR and Gonçalves CCM and Simionatto S and Schnaufer ECDS and Freitas FB and Vallinoto ACR and Croda J and Motta-Castro ARC","2022","HTLV infection in Brazil's second-largest indigenous reserve.","Sci Rep. 2022 Oct 6;12(1):16701. doi: 10.1038/s41598-022-21086-7.","12","16701",NA,"10.1038/s41598-022-21086-7","Human T-lymphotropic viruses 1 and 2 (HTLV-1/2) have a worldwide distribution. HTLV-1 has been associated with several diseases, including an aggressive malignant disease known as adult T-cell leukemia/lymphoma and a chronic inflammatory neurological disease called HTLV-1-associated myelopathy, while HTLV-2 has not been definitively associated with diseases. HTLV-2 is most prevalent in specific groups such as injecting drug users and the indigenous population. In Brazil, most studies about HTLV in indigenous are carried out in indigenous communities from the north of the country. Mato Grosso do Sul (MS), Central Brazil, has the second-largest indigenous population in Brazil. However, there is no available data about HTLV infection in this group. We conducted the first investigation of HTLV-1/2 infection prevalence in the indigenous population from Jaguapiru and Bororó villages in Dourados City, MS, to provide the prevalence and molecular characterization of HTLV. For that, a total of 1875 indigenous participated in the study. All the serum samples were screened by an enzyme-linked immunosorbent assay commercial kit for the presence of anti-HTLV-1/2 antibodies. Positive samples were confirmed by HTLV-1/2 Western Blot assay. The HTLV-1 5'LTR region was detected by nested PCR amplification and sequenced by Sanger. Most of the study population declared belonging to Guarani-Kaiowá ethnicity (69.18%), 872 (46.51%), and 1003 (53.49%) were from Jaguapiru and Bororó villages, respectively. The median age of participants was 31 years, and 74.24% were females. Two individuals were detected with HTLV-1 (0.1%; CI 95% 0.1-0.2). The phylogenetic analysis revealed that isolates belong to the Cosmopolitan subtype and the Transcontinental subgroup (HTLV-1aA). The low HTLV-1 prevalence found in this study is similar to that observed among blood donors, and pregnant populations from Mato Grosso do Sul. The absence of HTLV-2 infection among these Brazilian indigenous communities would suggest a distinct behavior pattern from other indigenous populations in Brazil."
"2","laporta","NO","Silva ÂAO and Leony LM and Souza WV and Freitas NEM and Daltro RT and Santos EF and Vasconcelos LCM and Grassi MFR and Regis-Silva CG and Santos FLN","2022","Spatiotemporal distribution analysis of syphilis in Brazil: Cases of congenital and syphilis in pregnant women from 2001-2017.","PLoS One. 2022 Oct 6;17(10):e0275731. doi: 10.1371/journal.pone.0275731. and eCollection 2022.","17",NA,NA,"10.1371/journal.pone.0275731","In Brazil, the notification of congenital (CS) and syphilis in pregnant women (SiP) is compulsory. Notification data provided by the Ministry of Health in combination with the mapping of vulnerable geographic areas is essential to forecasting possible outbreaks and more effectively combating infection through monitoring. We aim to evaluate the spatiotemporal distribution and epidemiological aspects of reported cases of CS and SiP in Brazil. A retrospective ecological study was carried out using secondary surveillance data obtained from the Brazilian National Notifiable Diseases Information System (SINAN) database, considering all reported cases of CS and SiP between 2001 to 2017. Epidemiological characteristics and time trends were analyzed using joinpoint regression models and spatial distribution, considering microregions or states/macroregions as units of analysis. A total of 188,630 (359/100,000 birth lives) CS and 235,895 of SiP (6.3/100,000 inhabitants) were reported during the period studied. In general, the epidemiologic profile of Brazil indicates most reported CS cases occurred in ""mixed-race"" newborns who were diagnosed within seven days of birth and whose mothers had received prenatal care, but the epidemiologic profile varies by Brazilian macroregion. Regarding SiP, most cases were among women who self-reported 'mixed-race', were aged 20-39 years, had up to eight years of formal education and were diagnosed with primary or latent syphilis. Approximately 549 (98.4%) and 558 (100%) microregions reported at least one case of CS and SiP, respectively. From 2012 to 2016, CS cases increased significantly in almost all Brazilian states, most notably in the South, Southeast, and Central-West macroregions, from 2001-2017 and the relative risk (RR) of SiP increased around 400% (RR: 1,00 to 445,50). Considering the epidemiological scenario of the infection in Brazil, it is necessary to enhance preventive, control and eradication measures."
"3","laporta","NO","Escolà-Vergé L and Rello P and Declerck C and Dubée V and Rouleau F and Duval X and Habib G and Lavie-Badie Y and Martin-Blondel G and Porte L and Bouiller K and Goehringer F and Selton-Suty C and Lamas CDC and Nacinovich F and Issa N and Richaud C and Hammoudi N and Barranco FJ and Almirante B and Tattevin P and Fernández-Hidalgo N","2022","Infective endocarditis in pregnant women without intravenous drug use: a multicentre retrospective case series.","J Antimicrob Chemother. 2022 Sep 30;77(10):2701-2705. doi: 10.1093/jac/dkac258.","77","2701","2705","10.1093/jac/dkac258","OBJECTIVES: To describe the clinical features and outcomes of infective endocarditis (IE) in pregnant women who do not inject drugs. METHODS: A multinational retrospective study was performed at 14 hospitals. All definite IE episodes between January 2000 and April 2021 were included. The main outcomes were maternal mortality and pregnancy-related complications. RESULTS: Twenty-five episodes of IE were included. Median age at IE diagnosis was 33.2 years (IQR 28.3-36.6) and median gestational age was 30 weeks (IQR 16-32). Thirteen (52%) patients had no previously known heart disease. Sixteen (64%) were native IE, 7 (28%) prosthetic and 2 (8%) cardiac implantable electronic device IE. The most common aetiologies were streptococci (n = 10, 40%), staphylococci (n = 5, 20%), HACEK group (n = 3, 12%) and Enterococcus faecalis (n = 3, 12%). Twenty (80%) patients presented at least one IE complication; the most common were heart failure (n = 13, 52%) and symptomatic embolism other than stroke (n = 4, 16%). Twenty-one (84%) patients had surgery indication and surgery was performed when indicated in 19 (90%). There was one maternal death and 16 (64%) patients presented pregnancy-related complications (11 patients ≥1 complication): 3 pregnancy losses, 9 urgent Caesarean sections, 2 emergency Caesarean sections, 1 fetal death, and 11 preterm births. Two patients presented a relapse during a median follow-up of 3.1 years (IQR 0.6-7.4). CONCLUSIONS: Strict medical surveillance of pregnant women with IE is required and must involve a multidisciplinary team including obstetricians and neonatologists. Furthermore, the potential risk of IE during pregnancy should never be underestimated in women with previously known underlying heart disease."
"4","laporta","NO","Torres MC and Di Maio F and Brown D and Spyer M and Nastouli E and Brasil P and Bispo de Filippis AM",NA,"In Depth Viral Diversity Analysis in Atypical Neurological and Neonatal Chikungunya Infections in Rio de Janeiro, Brazil.","Viruses. 2022 Sep 10;14(9):2006. doi: 10.3390/v14092006.","14",NA,NA,NA,"Chikungunya virus (CHIKV) is an arthropod-borne virus (arbovirus) transmitted by Aedes mosquitoes. The human infection usually manifests as a febrile and incapacitating arthritogenic illness, self-limiting and non-lethal. However, since 2013, CHIKV spreading through the tropics and to the Americas was accompanied by an increasing number of cases of atypical disease presentation, namely severe neuropathies and neonatal infection due to intrapartum vertical transmission. The pathophysiological mechanisms underlying these conditions have not been fully elucidated. However, arbovirus intrahost genetic diversity is thought to be linked to viral pathogenesis. To determine whether particular viral variants could be somehow associated, we analyzed the intrahost genetic diversity of CHIKV in three infected patients with neurological manifestations and three mothers infected during the intrapartum period, as well as their babies following vertical transmission. No statistically supported differences were observed for the genetic variability (nucleotide substitutions/gene length) along the genome between the groups. However, the newborn and cerebrospinal fluid samples (corresponding to virus passed through the placenta and/or the blood-brain barrier (BBB)) presented a different composition of their intrahost mutant ensembles compared to maternal or patient serum samples, even when concurrent. This finding could be consistent with the unidirectional virus transmission through these barriers, and the effect of selective bottlenecks during the transmission event. In addition, a higher proportion of defective variants (insertions/deletions and stop codons) was detected in the CSF and maternal samples and those were mainly distributed within the viral non-structural genes. Since defective viral genomes in RNA viruses are known to contribute to the outcome of acute viral infections and influence disease severity, their role in these atypical cases should be further investigated. Finally, with the in silico approach adopted, we detected no relevant non-conservative mutational pattern that could provide any hint of the pathophysiological mechanisms underlying these atypical cases. The present analysis represents a unique contribution to our understanding of the transmission events in these cases and generates hypotheses regarding underlying mechanisms, that can be explored further."
"5","laporta","NO","Parcial ALN and Salomão NG and Portari EA and Arruda LV and de Carvalho JJ and de Matos Guedes HL and Conde TC and Moreira ME and Batista MM and Paes MV and Rabelo K and Gomes-Silva A","2022","SARS-CoV-2 Is Persistent in Placenta and Causes Macroscopic, Histopathological, and Ultrastructural Changes.","Viruses. 2022 Aug 26;14(9):1885. doi: 10.3390/v14091885.","14",NA,NA,"10.3390/v14091885","SARS-CoV-2 is a virus that belongs to the Betacoronavirus genus of the Coronaviridae family. Other coronaviruses, such as SARS-CoV and MERS-CoV, were associated with complications in pregnant women. Therefore, this study aimed to report the clinical history of five pregnant women infected with SARS-CoV-2 (four symptomatic and one asymptomatic who gave birth to a stillborn child) during the COVID-19 pandemic. They gave birth between August 2020 to January 2021, a period in which there was still no vaccination for COVID-19 in Brazil. In addition, their placental alterations were later investigated, focusing on macroscopic, histopathological, and ultrastructural aspects compared to a prepandemic sample. Three of five placentas presented SARS-CoV-2 RNA detected by RT-PCRq at least two to twenty weeks after primary pregnancy infection symptoms, and SARS-CoV-2 spike protein was detected in all placentas by immunoperoxidase assay. The macroscopic evaluation of the placentas presented congested vascular trunks, massive deposition of fibrin, areas of infarctions, and calcifications. Histopathological analysis showed fibrin deposition, inflammatory infiltrate, necrosis, and blood vessel thrombosis. Ultrastructural aspects of the infected placentas showed a similar pattern of alterations between the samples, with predominant characteristics of apoptosis and detection of virus-like particles. These findings contribute to a better understanding of the consequences of SARS-CoV-2 infection in placental tissue, vertical transmission."
"6","laporta","NO","Aromolaran A and Araujo K and Ladines-Lim JB and Nery N Jr and do Rosário MS and Rastely VN Jr and Archanjo G and Daltro D and Carvalho GBDS and Pimentel K and de Almeida JRM and de Siqueira IC and Ribeiro HC and Oliveira-Filho J and de Oliveira D and Henriques DF and Rodrigues SG and Vasconcelos PFDC and de Almeida ARP and Sacramento GA and Cruz JS and Sarno M and Freitas BP and Mattos A and Khouri R and Reis MG and Ko AI and Costa F","2022","Unequal burden of Zika-associated microcephaly among populations with public and private healthcare in Salvador, Brazil.","Int J Infect Dis. 2022 Jul;120:201-204. doi: 10.1016/j.ijid.2022.04.030. Epub and 2022 Apr 22.","120","201","204","10.1016/j.ijid.2022.04.030","OBJECTIVES: To describe the differences in clinical presentation and relative disease burden of congenital Zika syndrome (CZS)-associated microcephaly at 2 large hospitals in Salvador, Brazil that serve patients of different socioeconomic status (SES). METHODS: Clinical and serologic data were collected prospectively from pregnant women and their infants, who delivered at 2 study centers during the 2015-2016 Zika virus (ZIKV) epidemic in Salvador, Brazil. RESULTS: Pregnant women from Salvador, Brazil delivering in a low SES hospital had 3 times higher ZIKV exposure rate than women at a high SES hospital. However, different SES hospitals had similar prevalence of infants with CZS-associated microcephaly (10% vs 6%, p = 0.16) after controlling for ZIKV exposure in their mothers. CONCLUSIONS: Our study supports the positive association between low SES, high maternal ZIKV exposure, and high rates of CZS-associated microcephaly."
"7","laporta","NO","Carvalho DP and Dias AF and Sferruzzi-Perri AN and Ortiga-Carvalho TM","2022","Gaps in the knowledge of thyroid hormones and placental biology†.","Biol Reprod. 2022 Jun 13;106(6):1033-1048. doi: 10.1093/biolre/ioac006.","106","1033","1048","10.1093/biolre/ioac006","Thyroid hormones (THs) are required for the growth and development of the fetus, stimulating anabolism, and oxygen consumption from the early stages of pregnancy to the period of fetal differentiation close to delivery. Maternal changes in the hypothalamic-pituitary-thyroid axis are also well known. In contrast, several open questions remain regarding the relationships between the placenta and the maternal and fetal TH systems. The exact mechanism by which the placenta participates in regulating the TH concentration in the fetus and mother and the role of TH in the placenta are still poorly studied. In this review, we aim to summarize the available data in the area and highlight significant gaps in our understanding of the ontogeny and cell-specific localization of TH transporters, TH receptors, and TH metabolic enzymes in the placenta in both human and rodent models. Significant deficiencies also exist in the knowledge of the contribution of genomic and nongenomic effects of TH on the placenta and finally, how the placenta reacts during pregnancy when the mother has thyroid disease. By addressing these key knowledge gaps, improved pregnancy outcomes and management of women with thyroid alterations may be possible."
"8","laporta","NO","Franco, G.D.M. and Rocha, A.S.D. and Cox, L.J. and Daian e Silva, D.S.D.O. and da Silveira e Santos, D.M. and Martins, M.L. and Romanelli, L.C. and Ishak, R. and Vallinoto, A.C.R. and Bomfim, M.R.Q. and Caterino-de-Araujo, A. and Coelho-dos-Reis, J.G.A. and da Fonseca, F.G. and Barbosa-Stancioli, E.F.","2022","Multi-Epitope Protein as a Tool of Serological Diagnostic Development for HTLV-1 and HTLV-2 Infections.","Front Public Health. 2022 May 23;10:884701. doi: 10.3389/fpubh.2022.884701. and eCollection 2022.","10","884701",NA,"10.3389/fpubh.2022.884701","A multi-epitope protein expressed in a prokaryotic system, including epitopes of Env, Gag, and Tax proteins of both HTLV-1 and HTLV-2 was characterized for HTLV-1/2 serological screening. This tool can contribute to support the implementation of public policies to reduce HTLV-1/2 transmission in Brazil, the country with the highest absolute numbers of HTLV-1/2 infected individuals. The chimeric protein was tested in EIA using serum/plasma of HTLV-infected individuals and non-infected ones from four Brazilian states, including the North and Northeast regions (that present high prevalence of HTLV-1/2) and Southeast region (that presents intermediate prevalence rates) depicting different epidemiological context of HTLV-1/2 infection in our country. We enrolled samples from Pará (n = 114), Maranhão (n = 153), Minas Gerais (n = 225) and São Paulo (n = 59) states; they are from blood donors' candidates (Pará and Minas Gerais), pregnant women (Maranhão) and HIV+/high risk for sexually transmitted infection (STI; São Paulo). Among the HTLV-1/2 positive sera, there were co-infections with viral (HTLV-1 + HTLV-2, HIV, HCV, and HBV), bacterial (Treponema pallidum) and parasitic (Trypanosoma cruzi, Schistosma mansoni, Strongyloides stercoralis, Entamoeba coli, E. histolytica, and Endolimax nana) pathogens related to HTLV-1/2 co-morbidities that can contribute to inconclusive diagnostic results. Sera positive for HIV were included among the HTLV-1/2 negative samples. Considering both HTLV-1 and HTLV-2-infected samples from all states and different groups (blood donor candidates, pregnant women, and individuals with high risk for STI), mono or co-infected and HTLV-/HIV+, the test specificity ranged from 90.09 to 95.19% and the sensitivity from 82.41 to 92.36% with high accuracy (ROC AUC = 0.9552). This multi-epitope protein showed great potential to be used in serological screening of HTLV-1 and HTLV-2 in different platforms, even taking into account the great regional variation and different profile of HTLV-1 and HTLV-2 mono or co-infected individuals. Copyright © 2022 Franco, Rocha, Cox, Daian e Silva, da Silveira e Santos, Martins, Romanelli, Ishak, Vallinoto, Bomfim, Caterino-de-Araujo, Coelho-dos-Reis, da Fonseca and Barbosa-Stancioli."
"9","laporta","NO","Souza LL and Moura EG and Lisboa PC",NA,"Litter Size Reduction as a Model of Overfeeding during Lactation and Its Consequences for the Development of Metabolic Diseases in the Offspring.","Nutrients. 2022 May 13;14(10):2045. doi: 10.3390/nu14102045.","14",NA,NA,NA,"Overfeeding during lactation has a deleterious impact on the baby's health throughout life. In humans, early overnutrition has been associated with higher susceptibility to obesity and metabolic disorders in childhood and adulthood. In rodents, using a rodent litter size reduction model (small litter) to mimic early overfeeding, the same metabolic profile has been described. Therefore, the rodent small litter model is an efficient tool to investigate the adaptive mechanisms involved in obesogenesis. Besides central and metabolic dysfunctions, studies have pointed to the contribution of the endocrine system to the small litter phenotype. Hormones, especially leptin, insulin, and adrenal hormones, have been associated with satiety, glucose homeostasis, and adipogenesis, while hypothyroidism impairs energy metabolism, favoring obesity. Behavioral modifications, hepatic metabolism changes, and reproductive dysfunctions have also been reported. In this review, we update these findings, highlighting the interaction of early nutrition and the adaptive features of the endocrine system. We also report the sex-related differences and epigenetic mechanisms. This model highlights the intense plasticity during lactation triggering many adaptive responses, which are the basis of the developmental origins of health and disease (DOHaD) concept. Our review demonstrates the complexity of the adaptive mechanisms involved in the obesity phenotype promoted by early overnutrition, reinforcing the necessity of adequate nutritional habits during lactation."
"10","laporta","NO","de Sousa, AS and Vermeij, D and Parra-Henao, G and Lesmo, V and Fernandez, EF and Aruni, JJC and Mendes, FDNS and Bohorquez, LC and Luquetti, AO","2022","The CUIDA Chagas Project: towards the elimination of congenital transmission of Chagas disease in Bolivia, Brazil, Colombia, and Paraguay.","Rev Soc Bras Med Trop. 2022 Apr 29;55:e01712022. doi: and 10.1590/0037-8682-0171-2021. eCollection 2022.","55",NA,NA,"10.1590/0037-8682-0171-2021","BACKGROUND: Mother-to-child transmission of Chagas disease (CD) has become a relevant problem in both endemic and non-endemic areas. METHODS: Description of the CUIDA Chagas Project - Communities United for Innovation, Development and Attention for Chagas disease'. RESULTS: Through innovative and strategic research, this project will provide improved diagnostic and treatment options as well as replicable implementation models that are adaptable to different contexts. CONCLUSIONS: By integrating test, treat and care actions for CD into primary health care practices, the burden of CD on people and health systems may be significantly reduced."
